ibge;nome;uf;tipo;status;cnpj_prefeitura;contratos_total;contratos_ok;licitacoes_total;licitacoes_ok;cidade_completa;ultimo_erro;atualizado_em
3549904;São José dos Campos;SP;polo-interior;pronta;46643466000106;0;0;0;0;nao;;2026-09-24T13:09:29+00:00
3552205;Sorocaba;SP;polo-interior;pronta;46634044000174;0;0;0;0;nao;;2026-09-24T13:09:29+00:00
3554102;Taubaté;SP;polo-interior;pronta;45176005000108;0;0;0;0;nao;;2026-09-24T13:09:29+00:00
3205309;Vitória;ES;capital;delegada;27142058000126;0;0;0;0;nao;;2026-09-24T13:09:29+00:00
3304557;Rio de Janeiro;RJ;capital;delegada;42498733000148;0;0;0;0;nao;;2026-09-24T13:09:29+00:00
3550308;São Paulo;SP;capital;excluida-principal;46395000000139;0;0;0;0;nao;;2026-09-24T13:09:29+00:00
1100049;Cacoal;RO;polo-interior;pronta;04092714000128;0;0;0;0;nao;;2026-09-24T13:09:29+00:00
1100122;Ji-Paraná;RO;polo-interior;pronta;04092672000125;0;0;0;0;nao;;2026-09-24T13:09:29+00:00
1100304;Vilhena;RO;polo-interior;pronta;04092706000181;0;0;0;0;nao;;2026-09-24T13:09:29+00:00
1200203;Cruzeiro do Sul;AC;polo-interior;pronta;04012548000102;0;0;0;0;nao;;2026-09-24T13:09:29+00:00
1301902;Itacoatiara;AM;polo-interior;pronta;04241980000175;0;0;0;0;nao;;2026-09-24T13:09:29+00:00
1302504;Manacapuru;AM;polo-interior;pronta;04274064000131;0;0;0;0;nao;;2026-09-24T13:09:29+00:00
1303403;Parintins;AM;polo-interior;pronta;04329736000169;0;0;0;0;nao;;2026-09-24T13:09:29+00:00
1304203;Tefé;AM;polo-interior;pronta;04426383000115;0;0;0;0;nao;;2026-09-24T13:09:29+00:00
1500107;Abaetetuba;PA;polo-interior;pronta;05105127000199;0;0;0;0;nao;;2026-09-24T13:09:29+00:00
1500602;Altamira;PA;polo-interior;pronta;05263116000137;0;0;0;0;nao;;2026-09-24T13:09:29+00:00
1500800;Ananindeua;PA;polo-interior;pronta;05058441000168;0;0;0;0;nao;;2026-09-24T13:09:29+00:00
1502103;Cametá;PA;polo-interior;pronta;05105283000150;0;0;0;0;nao;;2026-09-24T13:09:29+00:00
1502400;Castanhal;PA;polo-interior;pronta;05121991000184;0;0;0;0;nao;;2026-09-24T13:09:29+00:00
1503606;Itaituba;PA;polo-interior;pronta;05138730000177;0;0;0;0;nao;;2026-09-24T13:09:29+00:00
1504208;Marabá;PA;polo-interior;pronta;05853163000130;0;0;0;0;nao;;2026-09-24T13:09:29+00:00
1505502;Paragominas;PA;polo-interior;pronta;05193057000178;0;0;0;0;nao;;2026-09-24T13:09:29+00:00
1506138;Redenção;PA;polo-interior;pronta;04144168000121;0;0;0;0;nao;;2026-09-24T13:09:29+00:00
1506807;Santarém;PA;polo-interior;pronta;05182233000176;0;0;0;0;nao;;2026-09-24T13:09:29+00:00
1508100;Tucuruí;PA;polo-interior;pronta;05251632000141;0;0;0;0;nao;;2026-09-24T13:09:29+00:00
1600600;Santana;AP;polo-interior;pronta;23066640000108;0;0;0;0;nao;;2026-09-24T13:09:29+00:00
1702109;Araguaína;TO;polo-interior;bloqueada-cnpj;;0;0;0;0;nao;;2026-09-24T13:09:29+00:00
1709500;Gurupi;TO;polo-interior;pronta;01803618000152;0;0;0;0;nao;;2026-09-24T13:09:29+00:00
2105302;Imperatriz;MA;polo-interior;pronta;06158455000116;0;0;0;0;nao;;2026-09-24T13:09:29+00:00
2203909;Floriano;PI;polo-interior;pronta;06554067000154;0;0;0;0;nao;;2026-09-24T13:09:29+00:00
2207702;Parnaíba;PI;polo-interior;pronta;06554430000131;0;0;0;0;nao;;2026-09-24T13:09:29+00:00
2208007;Picos;PI;polo-interior;pronta;06553804000102;0;0;0;0;nao;;2026-09-24T13:09:29+00:00
2304103;Crateús;CE;polo-interior;pronta;07982036000167;0;0;0;0;nao;;2026-09-24T13:09:29+00:00
2304202;Crato;CE;polo-interior;pronta;07587975000107;0;0;0;0;nao;;2026-09-24T13:09:29+00:00
2305506;Iguatu;CE;polo-interior;pronta;07810468000190;0;0;0;0;nao;;2026-09-24T13:09:29+00:00
2307304;Juazeiro do Norte;CE;polo-interior;pronta;07974082000114;0;0;0;0;nao;;2026-09-24T13:09:29+00:00
2311306;Quixadá;CE;polo-interior;pronta;23444748000189;0;0;0;0;nao;;2026-09-24T13:09:29+00:00
2312908;Sobral;CE;polo-interior;pronta;07598634000137;0;0;0;0;nao;;2026-09-24T13:09:29+00:00
2402006;Caicó;RN;polo-interior;pronta;08096570000139;0;0;0;0;nao;;2026-09-24T13:09:29+00:00
2402600;Ceará-Mirim;RN;polo-interior;pronta;08004061000139;0;0;0;0;nao;;2026-09-24T13:09:29+00:00
2403103;Currais Novos;RN;polo-interior;pronta;08109126000100;0;0;0;0;nao;;2026-09-24T13:09:29+00:00
2407104;Macaíba;RN;polo-interior;pronta;08234148000100;0;0;0;0;nao;;2026-09-24T13:09:29+00:00
2408003;Mossoró;RN;polo-interior;pronta;08348971000139;0;0;0;0;nao;;2026-09-24T13:09:29+00:00
2409407;Pau dos Ferros;RN;polo-interior;pronta;08148421000176;0;0;0;0;nao;;2026-09-24T13:09:29+00:00
